algorithm,maze_size,path_length,nodes_explored,iterations,runtime_ms
DFS,9x9,25,38,--,0.056
DFS,15x15,29,63,--,0.048
DFS,19x19,37,209,--,0.187
DFS,29x29,103,422,--,0.424
DFS,39x39,153,309,--,0.273
BFS,9x9,17,53,--,0.043
BFS,15x15,29,138,--,0.117
BFS,19x19,37,222,--,0.172
BFS,29x29,57,503,--,0.429
BFS,39x39,77,900,--,0.774
A* Manhattan,9x9,17,40,--,0.067
A* Manhattan,15x15,29,104,--,0.117
A* Manhattan,19x19,37,147,--,0.169
A* Manhattan,29x29,57,349,--,0.473
A* Manhattan,39x39,77,493,--,0.604
A* Euclidean,9x9,17,44,--,0.056
A* Euclidean,15x15,29,111,--,0.126
A* Euclidean,19x19,37,187,--,0.21
A* Euclidean,29x29,57,433,--,0.51
A* Euclidean,39x39,77,742,--,0.891
Value Iteration,9x9,17,53,17,2.257
Value Iteration,15x15,29,140,29,10.077
Value Iteration,19x19,37,222,37,20.478
Value Iteration,29x29,57,503,57,70.534
Value Iteration,39x39,77,900,77,165.15
Policy Iteration,9x9,17,53,13,4.124
Policy Iteration,15x15,29,140,34,21.614
Policy Iteration,19x19,37,222,25,27.634
Policy Iteration,29x29,57,503,51,111.907
Policy Iteration,39x39,77,900,70,261.992
